LATITUDE,LONGITUDE,POP_DENSITY
45.1,33.8,38.15588443179231
45.1,33.9,42.4397318975793
45.1,34.0,187.51073536607953
45.1,34.1,81.05301345719232
45.1,34.2,31.50867610838678
45.1,34.3,49.91861528158188
45.1,34.4,60.20324307348993
45.1,34.5,31.98172210322486
45.1,34.6,124.01000883513026
45.1,34.7,54.368695418039955
45.1,34.8,15.968647986650467
45.1,34.9,28.650972824957634
45.1,35.0,40.46489358445009
45.1,35.1,66.01302134328418
45.1,35.2,75.19038772583008
45.1,35.3,108.1301444934474
45.1,35.4,458.3342113189697
45.1,35.5,399.794069220803
45.1,35.6,27.54452504867162
45.1,35.7,11.212687464609537
45.1,35.8,2.651377170833189
45.1,35.9,3.0748705955015287
45.1,36.0,3.0306306688321962
45.1,36.1,8.325328918921686
45.1,36.2,16.94371324363682
45.1,36.3,12.858471402223559
45.1,36.4,22.89922053228926
45.1,36.5,4.553897380828857
45.2,28.6,5.857941818237305
45.2,28.7,20.413415245711803
45.2,28.8,22.596024831136067
45.2,29.7,5.5014356890240235
45.2,33.1,41.78185929192437
45.2,33.2,68.41361898183823
45.2,33.3,582.8762238313412
45.2,33.4,1788.5635661943393
45.2,33.5,14.180409182707468
45.2,33.6,51.601963215014514
45.2,33.7,46.45649867587619
45.2,33.8,32.6964427050617
45.2,33.9,12.241795495152473
45.2,34.0,40.22819526659118
45.2,34.1,77.65182148416837
45.2,34.2,20.990831947988934
45.2,34.3,25.43950621618165
45.2,34.4,15.482214318381416
45.2,34.5,8.70325761867894
45.2,34.6,22.200805909103817
45.2,34.7,28.612248981992405
45.2,34.8,6.661243135730426
45.2,34.9,12.965210593409008
45.2,35.0,44.41115703516536
45.2,35.1,30.856080717510647
45.2,35.2,135.0222054388788
45.2,35.3,37.63624353541268
45.2,35.4,34.66284214622445
45.2,35.5,27.22447861332289
45.2,35.6,25.201690445343655
45.2,35.7,15.749875919686424
45.2,35.8,9.024613564213118
45.2,35.9,7.052410369945897
45.2,36.0,3.352250784635544
45.2,36.1,19.212031414111454
45.2,36.2,4.513881761166784
45.2,36.3,15.997510723664726
45.2,36.4,158.83523030192762
45.3,28.3,34.939908653497696
45.3,28.4,68.31218945936246
45.3,28.5,48.03293633405809
45.3,28.6,64.75558581330755
45.3,28.7,39.22514324212396
45.3,28.8,327.1360235885835
45.3,28.9,294.123287326687
45.3,29.0,39.08874611854553
45.3,29.6,5.672381401062012
45.3,29.7,4.918266024471315
45.3,29.8,3.4467389583587646
45.3,32.5,35.585727041417904
45.3,32.6,14.601655066013336
45.3,32.7,22.769498662948607
45.3,32.9,7.79755163192749
45.3,33.0,111.07916393876076
45.3,33.1,48.75439896465333
45.3,33.2,32.023131377167175
45.3,33.3,39.73710157142745
45.3,33.4,63.50916934344504
45.3,33.5,28.904194406337208
45.3,33.6,33.91677855948607
45.3,33.7,20.181775450706482
45.3,33.8,9.017767475710976
45.3,33.9,23.105986220969093
45.3,34.0,29.987652950816685
45.3,34.1,77.64153370923466
45.3,34.2,44.11855838033888
45.3,34.3,36.175995111465454
45.3,34.4,30.647126923004787
45.3,34.5,32.85738812221421
45.3,34.6,39.716255105204056
45.3,34.7,52.736875024106766
45.3,34.8,18.218161715401543
45.3,34.9,77.09631128278043
45.3,35.0,43.269456803798676
45.3,35.1,37.20235018780891
45.3,35.2,31.453784766277874
