FIRE_ID_TEST,FIRE_ID_TRAIN
1991072,921309
1991098,921319
1991773,921412
1990339,921226
1990314,921261
1988727,921225
1988180,921531
1987422,921439
1987448,423654
1987494,423653
1987281,921531
1987970,921531
1988064,423654
1987695,921523
1985819,921588
1985716,921436
1985564,423620
1986788,921369
1986936,921274
1986405,921265
1986288,921340
1986435,921274
1984052,921270
1984327,921265
1983554,921278
1983612,921231
1983805,921243
1984868,921456
1983250,423634
1983386,423634
1982769,921231
1983109,423631
1981865,921240
1981879,921572
1982056,921245
1981999,921245
2032218,921474
2029541,921302
2026631,921386
2026385,921382
2026101,921198
2025740,921358
2024574,921424
2024635,921425
2024057,921196
2022610,921218
2021808,921395
2022080,921395
2020937,921305
2019368,921443
2019173,921428
2019252,921504
2019782,921413
2019823,921305
2019911,921417
2019962,921392
2019446,921511
2018967,921411
2019100,921415
2018440,921347
2018263,921267
2018244,921260
2017346,423633
2016100,921465
2015932,921181
2015438,423607
2014593,921301
2014808,921469
2014438,921279
2013967,921384
2013792,921384
2013536,921293
2014070,921385
2012700,423610
2012847,921389
2012736,921294
2012345,921423
2012471,921405
2013152,921418
2013324,921492
2011556,423621
2011038,921275
2008975,921510
2009018,921354
2010562,921395
2007612,921329
2006525,921449
2005078,921260
2004742,921336
2003990,921447
2002600,921336
2002725,921444
2001237,921406
2000132,921488
2001222,921378
2001123,423629
2000105,921188
1998151,921475
1998946,921379
1998754,921469
1996572,921298
1996519,921280
1996693,921280
1997634,921408
1997396,921500
1997323,921198
1995698,423618
1995255,423617
1996011,921293
1996187,423618
1994266,921386
1994063,423625
1993995,921361
1994197,921202
1995064,921292
1993290,921405
1992897,921422
1993636,921422
1992221,921367
1992617,921215
1991205,921491
1991571,921286
1990215,921330
1990574,921349
1989559,921434
1989667,921427
1989499,921443
1989738,921226
1988442,921395
1989117,921395
1988856,921284
1988787,921354
1988079,921395
1985796,921479
1986126,921479
1986061,921479
1985477,921477
1987009,921227
1986209,921511
1986290,921228
1986606,921435
1983999,921511
1985021,921447
1984537,921481
1984796,921412
1984751,921413
1983223,921392
1983501,921263
1982893,921412
1982747,921326
1983116,921439
1983054,921337
1982469,921261
1982578,921261
2032219,921205
2032053,921290
2031753,921294
2031000,921614
2031276,921356
2031396,921356
2031436,921346
2030739,921295
2030796,921619
2030468,921613
2030165,423649
2029853,423649
2029526,921210
2029440,423649
2029193,921286
2029022,921490
2028547,921489
2028356,921189
2028476,921427
2028521,921308
2028096,921427
2028000,921284
2028292,921489
2026534,921329
2026360,921352
2026397,921354
2026075,921430
2025847,921189
2025862,921191
2024827,921483
2024308,921442
2021719,921195
2021421,921409
2021614,921458
2021083,921416
2021129,921312
2020453,921224
2020693,921473
2019817,921465
2019719,921465
2017220,921567
2017125,921541
2017165,921392
2017315,423639
2016967,921560
2016230,921357
2015816,423666
2015045,921513
2015135,921625
2015484,921349
2014738,921350
2014912,921489
2014756,921422
2014404,921284
2014308,921428
2013460,423667
2013724,423653
2012676,921329
2012704,921481
2012583,921426
2012841,921330
2012733,921330
2012417,921482
2012524,921482
2013197,921441
2013185,921483
2011034,921527
2011268,921413
2009467,921192
2009596,921528
2008927,921519
2008787,921194
2009141,921410
2009256,921596
2010628,921522
2010652,423621
2010460,921537
2010778,921336
2009975,921334
2009934,921410
2010298,921412
2010130,921321
2007737,921321
2007296,423611
2007454,921312
2008456,921539
2008421,921516
2008555,921516
2008144,921460
2008061,921607
2006810,921259
2006771,921395
2006589,921277
2006622,921262
2006936,423617
2007004,921552
2005545,921595
2005625,423622
2006309,921582
2005944,921570
2006132,921263
2006109,921397
2004952,423668
2005043,423627
2004313,921266
2004437,921266
2003521,921581
2003956,921549
2002550,921581
2002336,921567
2003091,423645
2003320,921567
2003017,921237
2001611,921501
2001665,921547
2001456,921641
2002160,921233
2000463,921540
2000170,921501
2001190,921296
1999615,921187
1999609,921187
1999397,921185
1999925,921205
1999766,921388
1999887,921619
1998341,921614
1998348,423666
1998021,921290
1998178,921295
1998722,921508
1998803,921513
1997133,921305
1996819,423635
1997658,921189
1997787,921189
1997841,921419
1997357,921422
1997293,921437
1995620,921330
1995615,921306
1995812,921440
1995197,921440
1995207,921330
1995335,921438
1996349,921438
1996142,921351
1994034,921191
1994134,423656
1992130,921606
1992638,423652
1992838,423652
1992482,921404
1992567,921404
1992547,921404
1991068,423652
1991124,921371
1991141,921226
1991529,921340
1991671,921398
1991575,921319
1990822,921341
1990722,921215
1989584,921588
1989542,921588
1989495,921588
1989997,921458
1990083,921606
1989799,921592
1989876,921587
1988507,921537
1988653,921320
1989113,921537
1989283,921596
1987066,921520
1987306,921280
1988133,921519
1987724,921395
1987769,921445
1985926,921463
1985980,921461
1986191,921576
1985418,921575
1985763,921309
1986628,423633
1987024,921261
1986252,921575
1986431,921575
1984008,921575
1984064,921332
1984229,921467
1983887,921473
1983938,921462
1984891,921257
1985330,921255
1983318,921268
1983440,921268
1982939,921472
1983049,921569
1982438,423627
1982449,921633
1982582,921630
1981746,921642
1981813,423626
2032229,921554
2031004,921371
2031565,921500
2031138,921326
2030480,921634
2030177,921648
2029937,921648
2029612,921210
2029443,921648
2029133,921282
2028788,921543
2028530,423648
2028325,423633
2028227,921318
2028294,423648
2027290,921192
2027028,921495
2026475,921493
2026170,921670
2025907,921671
2025367,921626
2024543,423672
2022724,921226
2020570,921440
2020404,921261
2020763,921476
2020669,921682
2020063,921277
2020110,921682
2019323,423653
2019652,921586
2019933,921400
2018877,921479
2018992,921678
2018568,423659
2018348,921687
2018410,921686
2018737,921454
2017870,921698
2016137,921843
2015072,921404
2014704,921496
2014870,423648
2014813,921641
2014386,921318
2013462,921560
2013395,921313
2013538,921649
2013666,921331
2013763,921627
2012667,423624
2012663,921566
2012643,423623
2012820,921343
2012758,423624
2012332,921279
2012542,921196
2012465,921193
2012849,423642
2013189,921193
2013156,921623
2013055,423609
2011760,921349
2009437,423654
2008884,423622
2008964,423664
2009183,921347
2009087,921352
2010513,423649
2010707,921278
2010773,921439
2010064,921442
2009955,921347
2010304,921356
2010211,423611
2007295,921394
2007432,921270
2008667,921440
2008304,921684
2006519,921378
2007077,921276
2006890,921401
2006944,921235
2005651,921373
2006208,921381
2006009,921713
2003877,921681
2002625,921681
2002564,921462
2002385,921714
2002363,921298
2002494,921700
2003027,921291
2001572,921525
2001685,921699
2001480,921699
2002225,921698
2002192,921697
2000465,921582
2000426,921580
2000165,921525
2001097,921183
1999582,921187
1999571,921187
1999435,921185
1999988,921186
2000022,921554
1999754,921406
1998407,921558
1998463,921651
1998068,921322
1998189,921326
1999066,921545
