LATITUDE,LONGITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
46.5,37.0,0.955198376737914,0.0,0.018267014412450464,0.0008336725003391669,0.02570093634929638
47.0,29.5,0.012245401632503088,0.08764147371627919,0.06496546857661084,0.7387800897703736,0.09636756630423325
47.0,30.0,0.0014636771359234203,0.05587590830613553,0.08297236539856333,0.825393056941489,0.03429499221788876
47.0,30.5,0.01362378837279445,0.015767626288268922,0.07233044939388157,0.8651271087980832,0.03315102714697187
47.0,31.0,0.04899702772237159,0.015752937202335605,0.08176430895570158,0.819301036736986,0.03418468938260528
47.0,31.5,0.014108835536974297,0.0028919320641501503,0.10029228417540291,0.8632201110909551,0.019486837132517563
47.0,32.0,0.07752294083653444,0.016734532141048704,0.0930803228648878,0.707436635871676,0.1052255682858531
47.0,32.5,0.0027727391261843943,0.0010194403982537086,0.006764711553889844,0.964209897924995,0.02523321099667697
47.0,33.0,0.016508939424658056,0.01364131363905504,0.05760455506101913,0.8797113680380738,0.032533823837193936
47.0,33.5,0.1186226797070887,0.012450320073437163,0.031417628156726676,0.7925550607070669,0.044954311355680496
47.0,34.0,0.07913810763146295,0.008169701621349928,0.012214523363751822,0.8825983350246386,0.017879332358796778
47.0,34.5,0.000869534642433491,0.0010816810436749945,0.003910091550714902,0.9807632181599164,0.013375474603260103
47.0,35.0,0.0009171254498778744,0.001380230540971833,0.007332198250451214,0.9700384459596854,0.02033199979901379
47.0,35.5,0.001001756583034053,0.012046384923003467,0.04000472014114691,0.8810744171421445,0.06587272121067117
47.0,36.0,0.003011949475872926,0.002456943374221326,0.01128689243225267,0.9653854012709343,0.01785881344671882
47.0,36.5,0.030956426485698636,0.007674217895390898,0.02389115220715959,0.9111700139289203,0.02630818948283059
47.0,37.0,0.18335270039617463,0.020312250410838804,0.05667595866947332,0.7027057223670875,0.03695336815642576
47.0,37.5,0.5157102764945837,0.015634066773442222,0.04129314305590815,0.3308252838065832,0.09653722986948271
47.0,38.0,0.6927866143905038,0.0013892322951679632,0.024486184700269812,0.2642446027696111,0.0170933658444474
47.0,38.5,0.6383565805810592,0.0011994993405669131,0.010048920403136393,0.3331866875029713,0.017208312172266257
47.5,25.0,0.0003166889376201476,0.702014112520511,0.27387209951857483,0.005388515630015919,0.018408583393278038
47.5,29.0,0.025377095223238555,0.13526792884773162,0.07933885448626518,0.6822743025028652,0.07774181893989947
47.5,29.5,0.0033204194415770065,0.09807114801635357,0.09352068864610975,0.7729911888298051,0.032096555066154574
47.5,30.0,0.0016296757759750279,0.08105261567617554,0.09326709723690144,0.7899474020086638,0.034103209302284235
47.5,30.5,0.0009091157110598857,0.04474849494256537,0.07226722586163317,0.8577362796607649,0.024338883823976743
47.5,31.0,0.00692809246283456,0.02945857769233384,0.0640852585317356,0.8760089021727252,0.023519169140370777
47.5,31.5,0.009504098102534254,0.05244780587014221,0.08628418012620842,0.8109982430815091,0.04076567281960596
47.5,32.0,0.007083543877354819,0.009888377815681056,0.07157874778998326,0.8886919636976038,0.02275736681937714
47.5,32.5,0.004977267889579687,0.010786837864159429,0.033085067786048396,0.9217743217908708,0.029376504669341694
47.5,33.0,0.005984651258764,0.016259815969932888,0.03891607572225627,0.9069232832227356,0.03191617382631128
47.5,33.5,0.011477179946597416,0.01442518881058982,0.02483053793531522,0.9098998268068843,0.03936726650061323
47.5,34.0,0.2466491168573357,0.01453992031091817,0.08078416695012344,0.6201912507614542,0.037835545120168484
47.5,34.5,0.21219369174120034,0.022831165791263014,0.06610241838745042,0.6046723795793757,0.09420034450071052
47.5,35.0,0.3588081758980594,0.015327841144132931,0.039865752172357945,0.541137033995428,0.04486119679002176
47.5,35.5,0.04090616797754797,0.012478518763055694,0.03915845150503848,0.8614688056692417,0.045988056085116254
47.5,36.0,0.0036238335124477283,0.004881385974979962,0.029591131702143558,0.9331761847749961,0.028727464035432693
47.5,36.5,0.0029896560589931665,0.014580738515153405,0.01406443505387758,0.9404299595373159,0.027935210834659926
47.5,37.0,0.003162732637849377,0.017213542773124257,0.01581977450687837,0.9388535226590397,0.02495042742310838
47.5,37.5,0.010428202623405226,0.039933218450536,0.07363493282773435,0.8213455109594887,0.0546581351388357
47.5,38.0,0.011955321051381201,0.010186134963255126,0.13455173910755822,0.812983459511763,0.03032334536604248
47.5,38.5,0.0115994097433847,0.01166247083136325,0.017676019785316407,0.9363746216870157,0.02268747795292
47.5,39.0,0.04121193781404763,0.02356789620821132,0.04600553716506262,0.8291751222932077,0.06003950651947083
48.0,22.5,0.013509599161446591,0.21476745626810986,0.028771532898913123,0.6681352508411126,0.07481616083041788
48.0,23.0,0.011319035896641301,0.3267511570963967,0.05756080577777484,0.4960944561522575,0.10827454507692967
48.0,23.5,0.011549118814761297,0.5474905597928074,0.15817782590883037,0.1232141781977223,0.1595683172858787
48.0,24.0,0.003099089271554159,0.7871776758273307,0.12390809912910852,0.015826799062032382,0.06998833670997429
48.0,24.5,0.0005725784887014596,0.8518930705408142,0.13533730748763148,0.0013128846811102858,0.01088415880174258
48.0,25.0,0.0017564376919334728,0.7554076443283322,0.20708425477288708,0.006356508405968399,0.029395154800878776
48.0,25.5,0.0014935174785143848,0.6913507341388166,0.07674790941486002,0.15881065231940555,0.0715971866484034
48.0,26.0,0.008252127898293065,0.2604610862615955,0.03760982787283334,0.5475598828232887,0.14611707514398936
48.0,26.5,0.013152556061780594,0.11998974074759497,0.07834517968116878,0.6775899470011773,0.11092257650827841
48.0,28.0,0.008744322885294557,0.04201822055437978,0.034512482506440456,0.8220717628851107,0.09265321116877442
48.0,28.5,0.015918610004884034,0.11913123690602875,0.05802122815932095,0.7131434108713014,0.09378551405846494
