LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
23.5,50.2,0.0,0.5833333333333334,0.0,0.4166666666666667,0.0
23.5,50.3,0.0,0.92,0.0,0.08,0.0
23.6,48.0,0.0,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.0
23.6,48.1,0.0,0.9375,0.0625,0.0,0.0
23.6,48.2,0.0,1.0,0.0,0.0,0.0
23.6,48.3,0.0,1.0,0.0,0.0,0.0
23.6,48.4,0.0,0.96,0.04,0.0,0.0
23.6,48.5,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0
23.6,48.6,0.0,1.0,0.0,0.0,0.0
23.6,48.7,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0
23.6,48.8,0.0,1.0,0.0,0.0,0.0
23.6,48.9,0.0,1.0,0.0,0.0,0.0
23.6,49.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
23.6,49.1,0.1,0.45,0.25,0.05,0.15
23.6,49.2,0.0,1.0,0.0,0.0,0.0
23.6,49.3,0.0,0.72,0.28,0.0,0.0
23.6,49.4,0.0,0.76,0.0,0.24,0.0
23.6,49.5,0.0,0.0,0.0,0.35,0.65
23.6,49.6,0.0,0.0,0.0,0.92,0.08
23.6,49.7,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0
23.6,49.8,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333
23.6,49.9,0.0,0.45,0.0,0.55,0.0
23.6,50.0,0.0,0.9473684210526315,0.0,0.0,0.05263157894736842
23.6,50.1,0.0,1.0,0.0,0.0,0.0
23.6,50.2,0.0,0.0,0.0,0.75,0.25
23.6,50.3,0.0,0.0,0.0,1.0,0.0
23.6,51.3,0.0,0.5833333333333334,0.0,0.4166666666666667,0.0
23.6,51.5,0.0,1.0,0.0,0.0,0.0
23.7,48.0,0.0,0.0,0.0,0.0,1.0
23.7,48.1,0.0,0.8571428571428571,0.047619047619047616,0.0,0.09523809523809523
23.7,48.2,0.0,0.96,0.04,0.0,0.0
23.7,48.3,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
23.7,48.4,0.0,1.0,0.0,0.0,0.0
23.7,48.5,0.0,0.4,0.6,0.0,0.0
23.7,48.6,0.0,1.0,0.0,0.0,0.0
23.7,48.7,0.0,1.0,0.0,0.0,0.0
23.7,48.8,0.0,0.95,0.05,0.0,0.0
23.7,48.9,0.0,1.0,0.0,0.0,0.0
23.7,49.0,0.0,1.0,0.0,0.0,0.0
23.7,49.1,0.0,1.0,0.0,0.0,0.0
23.7,49.2,0.0,0.0,0.0,0.8,0.2
23.7,49.3,0.0,0.85,0.0,0.15,0.0
23.7,49.4,0.0,0.52,0.16,0.28,0.04
23.7,49.5,0.0,0.09523809523809523,0.0,0.9047619047619048,0.0
23.7,49.6,0.041666666666666664,0.5416666666666666,0.125,0.2916666666666667,0.0
23.7,49.7,0.04,0.0,0.44,0.32,0.2
23.7,49.8,0.0,0.0,0.0,0.95,0.05
23.7,49.9,0.0,1.0,0.0,0.0,0.0
23.7,50.0,0.0,1.0,0.0,0.0,0.0
23.7,50.1,0.0,0.64,0.04,0.04,0.28
23.7,50.2,0.0,0.09090909090909091,0.045454545454545456,0.3181818181818182,0.5454545454545454
23.7,50.3,0.0,1.0,0.0,0.0,0.0
23.7,50.4,0.0,0.0,0.0,1.0,0.0
23.7,51.2,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0
23.7,51.3,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0
23.7,51.4,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.3157894736842105,0.0
23.7,51.5,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.0
23.7,51.6,0.0,0.42105263157894735,0.0,0.42105263157894735,0.15789473684210525
23.7,51.7,0.0,0.3125,0.0,0.6875,0.0
23.8,48.0,0.0,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0
23.8,48.1,0.0,0.96,0.04,0.0,0.0
