OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA56,2023-01-04,7.461,3.211,5.7130833,14.400001,0.0,257.78745,75.958336,2023
UA61,2023-01-04,7.4694996,2.7195,6.0361657,3.3000002,0.0,260.43564,70.75,2023
UA48,2023-01-04,6.7,-1.25,4.0020833,2.5,0.0,226.2172,64.34167,2023
UA77,2023-01-04,10.0675,1.3175,6.584167,0.70000005,0.0,267.0921,53.350002,2023
UA51,2023-01-04,7.905,0.105000004,4.825834,0.4,0.0,237.46361,48.71667,2023
UA09,2023-01-04,4.826,-2.824,1.2218333,2.9999998,0.07,226.11415,83.612495,2023
UA07,2023-01-04,7.413,3.813,5.967167,14.4,0.0,257.02707,78.72083,2023
UA68,2023-01-04,8.235499,0.5855,5.1500835,1.1,0.0,254.8822,72.675,2023
UA21,2023-01-04,8.672999,5.073,6.2605004,12.900001,0.0,179.13382,71.395836,2023
UA05,2023-01-04,8.202,-0.848,4.337417,1.1000001,0.0,244.74344,83.5625,2023
UA59,2023-01-04,3.2455,-1.3045,0.8309167,1.5999999,2.9400003,218.57292,89.325005,2023
UA40,2023-01-04,10.117,0.317,6.608667,0.6,0.0,220.62004,88.1625,2023
UA26,2023-01-04,9.0365,5.5864997,7.7510834,3.3999999,0.0,256.94308,54.270832,2023
UA43,2023-01-04,9.3285,-0.5715,5.0597496,0.5,0.0,228.52353,89.51666,2023
UA21,2023-01-05,7.1730003,3.823,5.5167503,0.2,0.0,317.20572,93.14166,2023
UA30,2023-01-05,5.5075,-6.9425,-0.5070834,1.9,0.42,339.9083,97.61667,2023
UA40,2023-01-05,10.417,5.867,8.769084,5.599999,0.0,304.1067,67.479164,2023
UA77,2023-01-05,6.2675004,0.6675,3.58625,1.0000001,0.0,305.7796,83.99167,2023
UA23,2023-01-05,7.326,-1.724,4.49475,0.9000001,0.0,295.81174,97.02917,2023
UA43,2023-01-05,8.528501,2.0785,6.180584,1.7000002,0.0,286.29037,76.3625,2023
UA35,2023-01-05,6.0439997,-1.6060001,3.0106666,1.7000002,0.0,317.6526,95.20416,2023
UA56,2023-01-05,4.811,-2.989,0.47558323,2.6000001,0.21000001,328.10245,98.22083,2023
UA48,2023-01-05,7.65,1.95,4.7062497,0.8,0.0,308.58267,76.816666,2023
UA07,2023-01-05,4.713,-2.637,0.49425027,2.2,0.14,324.70178,99.15833,2023
UA09,2023-01-05,5.876,-9.574,1.7426666,3.3000004,0.97999996,293.4287,93.26666,2023
UA65,2023-01-05,7.2355,1.2355001,4.495916,1.7000002,0.0,300.24213,83.42917,2023
UA68,2023-01-05,4.9355,-1.7644999,1.4313335,3.1000001,0.21000001,315.17163,96.87083,2023
UA26,2023-01-05,6.3865,0.3365,2.9948332,1.1,0.0,304.45108,94.666664,2023
UA59,2023-01-05,3.2455,-14.4545,-5.1670003,2.0,0.42000002,13.58469,99.69583,2023
UA51,2023-01-05,7.855,2.9550002,5.9154162,0.0,0.0,310.83832,64.8,2023
UA05,2023-01-05,5.802,-1.8479999,2.2186668,2.7999997,0.21000001,319.21268,95.1875,2023
UA61,2023-01-05,4.8694997,-0.3305,1.6528331,2.0,0.14,310.6012,96.541664,2023
UA74,2023-01-05,3.7784998,-10.5215,-4.0631666,0.3,0.07,7.1616216,99.583336,2023
UA32,2023-01-05,5.5075,-6.9425,-0.5070834,1.9,0.42,339.9083,97.61667,2023
UA46,2023-01-05,4.591,-0.659,1.7493335,1.0,0.0,306.51355,98.479164,2023
