LATITUDE,LONGITUDE,OBLAST_ID
52.0,30.5,UA74
52.0,31.0,UA74
52.0,31.5,UA74
52.0,32.0,UA74
52.0,32.5,UA74
52.0,33.0,UA74
52.0,33.5,UA59
52.0,34.0,UA59
52.0,34.5,UA59
52.5,32.5,UA74
52.5,33.0,UA74
52.5,33.5,UA74
52.5,34.0,UA59
